stid,name,latitude,longitude,elev_m,por_start,por_end,n_case,paper_site,in_case_window
USU07,Pariette Draw (Utah State Univ.),40.0346,-109.8301,1465.0,2013-01-01T00:00:00.000000+0000,2013-03-22T13:30:00.000000+0000,193,Pariette Draw,true
USU06,Sand Wash (Utah State Univ.),39.839,-109.915,1512.0,2013-01-01T00:00:00.000000+0000,2013-03-22T06:00:00.000000+0000,0,Sand Wash,false
USU02,Gusher (Utah State Univ.),40.2935,-109.6575,1550.0,2013-01-01T00:00:00.000000+0000,2013-03-27T16:15:00.000000+0000,193,Gusher,true
UUT01,Uintah Basin Research Trailer,40.2656,-110.0412,1561.0,2013-01-25T00:00:00.000000+0000,2013-02-16T17:10:00.000000+0000,577,,true
USU08,Utah State Univ. Research Trailer,40.1437,-109.46718,1570.0,2013-01-01T00:00:00.000000+0000,2013-03-16T06:00:00.000000+0000,577,,true
QRS,Roosevelt,40.2943,-110.009,1588.0,2012-02-01T00:00:00.000000+0000,2026-07-01T05:00:00.000000+0000,49,,true
KVEL,Vernal Airport,40.44295,-109.51273,1604.0,1997-01-01T00:00:00.000000+0000,2026-07-01T05:25:00.000000+0000,55,,true
USU01,Seven Sisters (Utah State Univ.),39.9813,-109.3454,1615.0,2013-01-01T00:00:00.000000+0000,2013-03-13T14:00:00.000000+0000,193,Seven Sisters,true
QV4,Vernal,40.46472,-109.56083,1666.0,2011-11-01T00:00:00.000000+0000,2026-07-01T05:00:00.000000+0000,161,,true
USU05,Wells Draw (Utah State Univ.),40.067,-110.151,1759.0,2013-01-01T00:00:00.000000+0000,2013-03-20T14:00:00.000000+0000,193,Wells Draw,true
USU04,Seep Ridge (Utah State Univ.),39.7539,-109.546,1933.0,2013-01-01T00:00:00.000000+0000,2013-03-11T23:15:00.000000+0000,193,Seep Ridge,true
USU03,Mountain Home (Utah State Univ.),40.4319,-110.3821,2228.0,2013-01-01T00:00:00.000000+0000,2013-03-20T16:15:00.000000+0000,193,Mountain Home,true
